id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Serenity Suite,Opus Ensemble,classical,uplifting,0.33,62,0.77,0.32,0.95
12,Island Breeze,King Roots,reggae,mellow,0.55,88,0.72,0.67,0.40
13,Blue Monday,Delta Soul,blues,melancholic,0.41,74,0.38,0.53,0.81
14,Campfire Tales,Willow Folk,folk,romantic,0.48,96,0.66,0.57,0.76
15,Iron Shadows,Steel Roar,metal,dark,0.97,160,0.22,0.61,0.07
16,Street Poetry,Urban Verse,hip hop,playful,0.78,105,0.69,0.85,0.15
17,Country Roads,Sunny Fields,country,adventurous,0.65,120,0.73,0.70,0.52
18,Desert Dance,Nomad Tribe,world,spiritual,0.60,98,0.80,0.63,0.60
19,Pulse Reactor,Electro Nova,electronic,energetic,0.89,140,0.75,0.90,0.12
20,Funky Groove,Groove Machine,funk,groovy,0.83,115,0.87,0.92,0.20
